"ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predicted_price","profit","buy"
1961,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE14","F",32,1,3.1,1.2,552,208,"Very Poor","rental (private)",51.481154,-0.050164,40,6,2,"queens road peckham","Thames Water",49700,"Lewisham","light_rail",0,1,1,0.6934824,172000,445242.6142113,1.5886198500657,1
8866,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E3","D",58,2,2.8,1.2,253,110,"Average","owner-occupied",51.536359,-0.032838,23,17,2,"hackney wick","Thames Water",46200,"Tower Hamlets","light_rail",0,0,1,0.9140794,152000,392428.490151237,1.58176638257392,1
15745,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"CR4","D",84,5,4.5,2,276,119,"Good","rental (private)",51.418984,-0.166933,74,18,3,"tooting","Thames Water",52500,"Merton","rail",0,1,0,0.3610334,381000,975860.867800691,1.56131461365011,1
2716,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW3","C",37,2,1.6,1,242,157,"Average","owner-occupied",51.493339,-0.164931,30,13,1,"sloane square","Thames Water",50600,"Kensington and Chelsea","tube",2,0,0,0.472264,499000,1273783.87719894,1.55267310059908,1
11374,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"UB2","D",146,5,6.1,2.9,236,110,"Average","owner-occupied",51.503133,-0.383184,28,33,4,"southall","Affinity Water",45400,"Ealing","rail",0,1,0,0.4281446,309000,763479.427555452,1.47080720891732,1
13211,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W11","D",31,2,1.9,1.1,356,194,"Very Poor","owner-occupied",51.516223,-0.213144,49,13,2,"ladbroke grove","Thames Water",47300,"Kensington and Chelsea","tube",2,0,0,0.2336464,315000,770749.273036167,1.4468230890037,1
72,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE28","D",58,3,2.6,0.7,253,64,"Average","owner-occupied",51.50324,0.10236,157,3,4,"abbey wood","Thames Water",49700,"Greenwich","rail",0,1,0,2.6571064,226000,551159.413154055,1.43875846528343,1
5521,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"NW8","C",84,4,2.8,0.7,191,44,"Good","owner-occupied",51.524597,-0.16943,38,38,1,"edgware road (bakerloo)","Thames Water",39800,"Westminster","tube",2,0,0,0.2933008,669000,1628095.52618593,1.43362559968001,1
3289,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E13","C",60,4,2.1,0.5,199,40,"Average","rental (social)",51.531364,0.017149,92,5,3,"plaistow","Thames Water",43200,"Newham","tube",2,0,0,0.1565928,290000,705273.109636531,1.43197624012597,1
11681,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW8","C",65,3,1.6,1.3,143,110,"Average","owner-occupied",51.528326,-0.175736,42,43,2,"warwick avenue","Thames Water",53500,"Westminster","tube",2,0,0,0.5194904,389000,940814.110622596,1.41854527152338,1
7253,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW8","D",51,3,2.5,1.1,255,115,"Poor","owner-occupied",51.539019,-0.189699,32,36,2,"kilburn high road","Thames Water",45700,"Westminster","light_rail",0,0,1,0.0801606,341000,821653.224481868,1.40954024774741,1
8567,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N22","C",47,2,1.2,1.1,150,129,"Average","rental (private)",51.603155,-0.117822,94,40,3,"alexandra palace","Thames Water",51000,"Haringey","rail",0,1,0,0.4020458,137000,326097.38085708,1.38027285297138,1
10952,NA,NA,"T","N","L",NA,NA,NA,NA,NA,NA,"SW11","E",150,7,7.9,3.5,297,132,"Poor","owner-occupied",51.460972,-0.165845,187,15,2,"clapham junction","Thames Water",73000,"Wandsworth","light_rail",0,1,1,0.4126096,585000,1390704.61968717,1.37727285416611,1
8740,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W3","D",28,2,2.2,1.6,437,317,"Average","rental (private)",51.515341,-0.280455,70,33,3,"west acton","Thames Water",55100,"Ealing","tube",1,0,0,0.3367988,226000,536751.584107647,1.37500700932587,1
6453,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"N9","D",79,4,4.2,1.9,274,122,"Average","owner-occupied",51.624419,-0.051342,116,14,4,"edmonton green","Thames Water",38100,"Enfield","light_rail",0,1,1,0.6344494,217000,515230.415920113,1.37433371391757,1
672,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N12","C",47,2,2.3,1.8,286,225,"Average","owner-occupied",51.613249,-0.177359,58,94,4,"woodside park","Affinity Water",51100,"Barnet","tube",1,0,0,0.7164742,176000,415619.035755314,1.36147179406429,1
10237,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"BR5","C",54,3,3.1,2.3,339,254,"Good","owner-occupied",51.397416,0.117601,83,46,6,"st mary cray","Thames Water",43200,"Bromley","rail",0,1,0,0.6692478,98000,230845.423329628,1.35556554417988,1
13875,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW10","D",37,2,3,2.2,468,355,"Very Poor","owner-occupied",51.567365,-0.258148,122,34,3,"neasden","Thames Water",43400,"Brent","tube",1,0,0,1.224158,189000,444661.889317998,1.35270840908994,1
2347,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N11","C",49,2,1.8,1.6,212,187,"Good","owner-occupied",51.615268,-0.139825,53,54,4,"new southgate","Thames Water",52600,"Barnet","rail",0,1,0,0.2460744,221000,519645.570414937,1.35133742269202,1
15829,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SM1","D",52,2,2.8,2,305,221,"Poor","owner-occupied",51.364478,-0.201617,58,47,5,"west sutton","SES Water",55200,"Sutton","rail",0,1,0,0.382161,117000,275013.412787273,1.35054198963481,1
656,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W6","E",114,6,5.7,2.9,283,143,"Very Poor","rental (private)",51.484156,-0.221455,91,6,2,"barons court","Thames Water",59500,"Hammersmith and Fulham","tube",2,0,0,0.8519394,503000,1182311.68020573,1.3505202389776,1
7802,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",78,4,4.5,2.8,348,216,"Average","owner-occupied",51.445391,-0.011653,60,21,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.7369804,231000,540783.511227799,1.3410541611593,1
2964,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W6","E",40,2,3,2.5,446,369,"Poor","owner-occupied",51.485991,-0.218393,199,8,2,"barons court","Thames Water",59500,"Hammersmith and Fulham","tube",2,0,0,0.5723094,319000,746471.736645846,1.34003679199325,1
1601,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W8","D",34,2,2.5,1.3,432,231,"Very Poor","rental (private)",51.499233,-0.197629,43,14,1,"high street kensington","Thames Water",69200,"Kensington and Chelsea","tube",2,0,0,0.503334,585000,1366051.96102458,1.33513155730697,1
9363,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW5","E",54.15,2,4.2,3.2,458,357,"Poor","owner-occupied",51.495489,-0.191611,65,14,1,"earls court","Thames Water",56600,"Kensington and Chelsea","tube",2,0,0,0.2839798,534000,1245513.87121305,1.33242297979972,1
7715,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW17","F",76,5,4.6,0.5,358,37,"Average","owner-occupied",51.42244,-0.153936,125,24,3,"tooting","Thames Water",59800,"Wandsworth","rail",0,1,0,0.4455438,441000,1020037.58120577,1.31301038822169,1
1194,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW6","D",48,2,2.6,2.2,306,259,"Poor","rental (private)",51.551314,-0.191634,37,63,2,"west hampstead thameslink","Thames Water",64100,"Brent","rail",0,1,0,0.1851772,379000,876562.768516199,1.31283052378944,1
11528,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"NW2","C",97,6,2.7,1.2,161,68,"Average","owner-occupied",51.566912,-0.242222,139,51,3,"neasden","Thames Water",43400,"Camden","tube",1,0,0,1.071915,470000,1076985.49340491,1.29145849660619,1
10395,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"DA17","D",67,4,3.7,0.9,285,67,"Poor","owner-occupied",51.490458,0.149136,76,15,5,"belvedere","Thames Water",45700,"Bexley","rail",0,1,0,0.3747042,284000,649461.121305615,1.2868349341747,1
14622,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW8","D",74,6,3.1,1,243,77,"Average","owner-occupied",51.493463,-0.299616,43,13,3,"kew bridge","Thames Water",50200,"Hounslow","rail",0,1,0,0.5549102,501000,1140687.60136552,1.27682155961182,1
3961,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE28","D",57.52,3,2.6,1.9,276,196,"Average","owner-occupied",51.50994,0.12479,54,2,4,"abbey wood","Thames Water",49800,"Greenwich","rail",0,1,0,2.1171098,228000,514887.477794778,1.25827841138061,1
9885,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"NW4","D",111,4,3.9,1.8,199,89,"Average","owner-occupied",51.595634,-0.214317,94,59,3,"hendon central","Thames Water",58700,"Barnet","tube",1,0,0,1.4503476,494000,1100645.08531683,1.22802648849561,1
10043,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE17","D",44,2,2.4,1.2,312,157,"Average","owner-occupied",51.492177,-0.102647,27,7,2,"kennington","Thames Water",50700,"Southwark","tube",1,0,0,0.2311608,324000,721508.164357213,1.22687705048522,1
6682,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR7","D",36,2,2.5,0.9,405,145,"Average","rental (private)",51.397515,-0.108996,29,46,4,"thornton heath","Thames Water",51500,"Croydon","rail",0,1,0,0.4455438,127000,279663.027977598,1.20207108643778,1
14577,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE18","C",49,3,2.1,2,245,225,"Average","rental (private)",51.494732,0.049069,77,6,3,"woolwich dockyard","Thames Water",52000,"Greenwich","rail",0,1,0,0.5704452,207000,454922.245662632,1.19769200803204,1
5304,NA,NA,"T","N","L",NA,NA,NA,NA,NA,NA,"SE15","D",50,3,2.4,1.4,268,157,"Average","owner-occupied",51.470671,-0.057813,64,14,2,"queens road peckham","Thames Water",45200,"Southwark","light_rail",0,1,1,0.4150952,341000,748700.697226466,1.19560321767292,1
2742,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW17","D",47,3,1.9,0.3,229,33,"Average","owner-occupied",51.430525,-0.160821,130,28,3,"tooting broadway","Thames Water",53600,"Wandsworth","tube",1,0,0,0.5331612,437000,958822.088374045,1.19410088872779,1
9727,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW11","D",51,3,2.8,1.1,307,123,"Average","rental (private)",51.465247,-0.178785,99,7,2,"clapham junction","Thames Water",47000,"Wandsworth","light_rail",0,1,1,0.6158074,329000,715653.710033607,1.17523924022373,1
2314,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW12","D",61,3,2.8,0.8,259,71,"Poor","owner-occupied",51.450093,-0.157441,78,25,3,"wandsworth common","Thames Water",77300,"Wandsworth","rail",0,1,0,0.5816304,553000,1199607.81003236,1.16927271253591,1
15439,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR6","D",141,6,5.8,3.4,211,123,"Average","owner-occupied",51.374385,0.066249,14,94,6,"orpington","Thames Water",66900,"Bromley","rail",0,1,0,1.2316148,325000,704817.61605965,1.16866958787585,1
8095,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"UB2","E",78.8,5,4.9,3.9,374,294,"Average","rental (private)",51.499254,-0.396676,85,32,4,"southall","Affinity Water",45400,"Ealing","rail",0,1,0,1.1564254,309000,669182.575561934,1.16563940311306,1
7795,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW6","D",86,5,3.9,1.7,253,115,"Good","owner-occupied",51.544919,-0.202632,104,48,2,"brondesbury","Thames Water",51900,"Brent","light_rail",0,0,1,0.2150044,377000,814853.091274837,1.16141403521177,1
211,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"RM5","E",57,3,2.7,1.2,232,86,"Average","rental (private)",51.593897,0.166733,21,30,6,"romford","Essex & Suffolk Water",48000,"Havering","light_rail",0,1,1,1.6330392,304000,653621.119013585,1.15006947043943,1
10330,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"CR2","C",99,5,3.1,1.5,176,85,"Average","owner-occupied",51.346426,-0.108372,37,86,6,"purley oaks","Thames Water",58600,"Croydon","rail",0,1,0,0.7040462,385000,826253.801861129,1.14611377106787,1
4827,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"KT9","D",83,4,3,1.2,206,80,"Very Poor","rental (private)",51.358712,-0.297213,129,46,6,"chessington south","Thames Water",59700,"Kingston upon Thames","rail",0,1,0,0.581009,293000,626720.120690832,1.13897652112912,1
9168,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE16","D",68,4,3.4,2.7,285,224,"Average","rental (private)",51.498062,-0.052943,54,5,2,"canada water","Thames Water",50900,"Southwark","tube",1,0,1,0.2373748,349000,743220.065741958,1.12957038894544,1
13865,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR0","C",46,2,1.4,1.3,177,161,"Average","owner-occupied",51.370855,-0.100871,25,53,3,"george street","Thames Water",51400,"Croydon","light_rail",0,0,1,0.3865108,117000,248705.9314904,1.12569172214017,1
13135,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE16","C",36,2,2.3,1.5,355,242,"Very Poor","owner-occupied",51.50265,-0.04818,96,6,2,"rotherhithe","Thames Water",69100,"Southwark","light_rail",0,0,1,0.357305,279000,590754.555750725,1.11739984140045,1
4840,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E17","D",29,1,2.2,1.7,450,340,"Average","rental (private)",51.592658,-0.030523,140,14,3,"blackhorse road","Thames Water",50700,"Waltham Forest","tube",1,0,1,0.8811452,156000,329355.922809403,1.11125591544489,1
4554,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW11","D",96,4,2.9,3,181,185,"Average","owner-occupied",51.474491,-0.152944,181,8,2,"queenstown road","Thames Water",54100,"Wandsworth","rail",0,1,0,0.3280992,399000,841977.545673693,1.11021941271602,1
8416,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W5","C",101.5,6,3,2.9,202,198,"Good","rental (private)",51.499703,-0.304527,75,26,3,"south ealing","Thames Water",56900,"Ealing","tube",1,0,0,0.3100786,574000,1206319.44269607,1.10160181654367,1
12451,NA,NA,"T","N","L",NA,NA,NA,NA,NA,NA,"IG11","C",45,2,1,1,114,114,"Good","owner-occupied",51.535595,0.079727,218,8,4,"barking","Essex & Suffolk Water",44200,"Barking and Dagenham","tube",2,0,1,0.400803,232000,484934.215005783,1.09023368536975,1
10467,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE18","E",74.98,5,6.3,4.5,498,355,"Good","owner-occupied",51.49,0.08991,41,5,4,"plumstead","Thames Water",43900,"Greenwich","rail",0,1,0,0.3423914,296000,614203.423303576,1.07501156521478,1
5393,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"CR4","D",95.6104,6,4.5,3.6,279,226,"Good","rental (social)",51.408824,-0.162497,29,23,3,"mitcham eastfields","Thames Water",45700,"Merton","rail",0,1,0,0.6387992,396000,817165.504230018,1.06354925310611,1
8346,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE15","D",69,3,2.9,0.8,218,60,"Good","owner-occupied",51.48242,-0.055424,77,4,2,"south bermondsey","Thames Water",43200,"Southwark","rail",0,1,0,0.5704452,337000,693693.36087029,1.05843727261214,1
11051,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E16","C",75,4,2.4,0.9,184,66,"Average","owner-occupied",51.514146,0.026895,125,2,3,"custom house","Thames Water",41200,"Newham","light_rail",0,0,1,0.320021,379000,779034.98118788,1.05550126962501,1
7223,NA,NA,"T","N","L",NA,NA,NA,"BAYSWATER",NA,NA,"W2","D",74,4,3.3,1.7,249,134,"Poor","owner-occupied",51.518222,-0.189861,200,31,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.1354652,804000,1652040.35946019,1.05477656649277,1
15095,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE18","D",59.45,3,2.3,2.3,220,214,"Good","rental (private)",51.491561,0.066818,188,17,4,"woolwich arsenal","Thames Water",52000,"Greenwich","light_rail",0,1,1,0.1466504,222000,456005.194285486,1.05407745173642,1
6157,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"SM5","D",94,6,5,1.6,305,97,"Very Poor","owner-occupied",51.379551,-0.172704,113,37,5,"carshalton","SES Water",48600,"Sutton","rail",0,1,0,0.8966802,442000,904134.938774718,1.0455541601238,1
13556,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E16","D",75,4,3,1.3,229,93,"Average","owner-occupied",51.513603,0.037478,47,3,3,"prince regent","Thames Water",41200,"Newham","light_rail",0,0,1,0.4946344,349000,713548.544992155,1.04455170484858,1
7735,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE28","C",82.05,5,2.5,2.3,187,167,"Average","owner-occupied",51.510491,0.12813,40,3,4,"abbey wood","Thames Water",49800,"Greenwich","rail",0,1,0,2.1357518,252000,514887.477794778,1.04320427696341,1
10061,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW8","D",70,4,3.7,1.1,298,84,"Average","owner-occupied",51.487387,-0.311681,71,12,4,"brentford","Thames Water",51200,"Hounslow","rail",0,1,0,0.3237494,552000,1122325.70407882,1.03319873927322,1
